"","submitter_name","comment_url","comment_txt1","comment_txt","comment_type","comment_id","comment_title","comment_text","organization","org_type","org_name","org_name_short","coalition_comment","coalition_type","docket_id","docket_title","docket_type","proposed_url","final_url"
"1","Tyrone Sanders Jr","https://www.regulations.gov/document?D=CFPB-2016-0025-211877","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-211877","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-211877-1.txt","org","CFPB-2016-0025-211877","Comment Submitted by Tyrone D. Sanders Jr., Michigan CBC Host Committee","See attached","Michigan CBC Host Committee","corp","Michigan CBC Host Committee",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"2","Antonio Lau","https://www.regulations.gov/document?D=CFPB-2016-0025-211874","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-211874","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-211874-1.txt","org","CFPB-2016-0025-211874","Comment Submitted by Randy Olson-Gallegos for Antonio Lau, LATCARBCC","See attached","LATCARBCC","corp group","LATCARBCC",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"3","Paul Soter","https://www.regulations.gov/document?D=CFPB-2016-0025-148806","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-148806","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-148806-1.txt","org","CFPB-2016-0025-148806","Comment Submitted by R Paul Soter Law Offices of Paul Soter_1003_18","See attached","Law Offices of Paul Soter","corp;law firm","Law Offices of Paul Soter",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"4","Lindsay Oak","https://www.regulations.gov/document?D=CFPB-2016-0025-158003","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-158003","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-158003-1.txt","org","CFPB-2016-0025-158003","Comment Submitted by Lindsay Oak, CNG Financial Corporation","See attached file(s)","CNG Financial Corporation","corp;finance","CNG Financial Corporation",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"5","Mark Asmus","https://www.regulations.gov/document?D=CFPB-2016-0025-147176","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-147176","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-147176-1.txt","org","CFPB-2016-0025-147176","Comment Submitted by Mark Asmus, First Nebraska Bank","See attached file(s)","First Nebraska Bank","corp","First Nebraska Bank",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"6","Dennis Nixon","https://www.regulations.gov/document?D=CFPB-2016-0025-148413","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-148413","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-148413-1.txt","org","CFPB-2016-0025-148413","Comment Submitted by Dennis Nixon, International Bancshares Corporation","See attached file.","International Bancshares Corporation","corp","International Bancshares Corporation",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"7","Josh Fritts","https://www.regulations.gov/document?D=CFPB-2016-0025-147273","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-147273","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-147273-1.txt","org","CFPB-2016-0025-147273","Comment Submitted by Josh Fritts, COFiSCA","See attached file(s)","COFiSCA","ngo;professional","COFiSCA",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"8","Mickey Mays","https://www.regulations.gov/document?D=CFPB-2016-0025-185061","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185061","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185061-1.txt","org","CFPB-2016-0025-185061","Comment Submitted by Mickey Mays, Thrifty Loans LLC","See attached","Thrifty Loans LLC","Corp:Business","Thrifty Loans LLC",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"9","Kevin McFadden","https://www.regulations.gov/document?D=CFPB-2016-0025-186574","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-186574","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-186574-1.txt","org","CFPB-2016-0025-186574","Comment Submitted by Kevin McFadden, Illinois Financial Services Association","See attached","Illinois Financial Services Association","corp","Illinois Financial Services Association","IFSA","Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"10","Anonymous Anonymous","https://www.regulations.gov/document?D=CFPB-2016-0025-186584","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-186584","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-186584-1.txt","org","CFPB-2016-0025-186584","Comment Submitted by Financial Service Centers of America Inc","See attached","Financial Service Centers of America Inc","corp group","Financial Service Centers of America Inc","FiSCA","Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"11","Shan Hanes","https://www.regulations.gov/document?D=CFPB-2016-0025-185165","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185165","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185165-1.txt","org","CFPB-2016-0025-185165","Comment Submitted by Shan Hanes, First National Bank","See attached","First National Bank","corp;small business","First National Bank",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"12","Anonymous Anonymous","https://www.regulations.gov/document?D=CFPB-2016-0025-186600","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-186600","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-186600-1.txt","org","CFPB-2016-0025-186600","Comment Submitted by Ace Cash Express Inc","See attached","Ace Cash Express Inc","corp;law firm","Ballard Spahr",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"13","Anonymous Anonymous","https://www.regulations.gov/document?D=CFPB-2016-0025-187768","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-187768","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-187768-1.txt","org","CFPB-2016-0025-187768","Comment Submitted by Check Into Cash Inc","See attached","Check Into Cash Inc","corp","Check Into Cash Inc",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"14","Anonymous Anonymous","https://www.regulations.gov/document?D=CFPB-2016-0025-185038","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185038","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185038-1.txt","org","CFPB-2016-0025-185038","Comment Submitted by The Independent Finance Association of Illinois","See attached","The Independent Finance Association of Illinois","corp group","The Independent Finance Association of Illinois","IFA","Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"15","Anonymous Anonymous","https://www.regulations.gov/document?D=CFPB-2016-0025-185177","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185177","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185177-1.txt","org","CFPB-2016-0025-185177","Comment Submitted by Oregon Financial Services Association","See attached","Oregon Financial Services Association","corp group","Oregon Financial Services Association","OFSA","Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"16","Anonymous Anonymous","https://www.regulations.gov/document?D=CFPB-2016-0025-187767","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-187767","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-187767-1.txt","org","CFPB-2016-0025-187767","Comment Submitted by Idaho Financial Services Association Inc","See attached","Idaho Financial Services Association Inc","corp group","Idaho Financial Services Association Inc",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
"17","Teri Kramer","https://www.regulations.gov/document?D=CFPB-2016-0025-185163","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185163","https://ssc.wisc.edu/~judgelord/comment_text/CFPB/CFPB-2016-0025/CFPB-2016-0025-185163-1.txt","org","CFPB-2016-0025-185163","Comment Submitted by Teri Kramer, Georgia Installment Lenders Association","See attached","Georgia Installment Lenders Association","corp group;coalition","Georgia Installment Lenders Association",NA,"Axcess Financial","private","CFPB-2016-0025","Payday, Vehicle, Title and Certain High-Cost Installment Loans","Rulemaking","https://www.federalregister.gov/documents/2016/07/22/2016-13490/payday-vehicle-title-and-certain-high-cost-installment-loans","https://www.federalregister.gov/documents/2017/11/17/2017-21808/payday-vehicle-title-and-certain-high-cost-installment-loans"
